model,roc_auc,pr_auc,precision_at_10,recall_at_10,lift_at_10
baseline_rate,0.5,0.11408458272878715,0.9267170445004198,0.812323363165332,8.123069939287948
logistic_regression,0.8165044451540878,0.362341055365174,0.4189420654911839,0.36722797927461137,3.6722057921457565
random_forest,0.8044916930102564,0.34360326318055623,0.40507136859781695,0.3550694771549694,3.55062322102533
