fpr,tpr
0.0,0.0
0.00021223152711819548,0.00878174410504317
0.0004294567372274073,0.014228114247113212
0.0006416882643456028,0.019590044542019378
0.0008813850479143883,0.02404424647991387
0.0011335660389607148,0.02811846910557092
0.0013807533470160248,0.032467121234510565
0.0016778774849814985,0.036288024318675983
0.002024938452857136,0.040277807097169153
0.002354521530264216,0.04445757953178105
0.0026666267172027387,0.048510692195647125
0.0030336624170424413,0.052606024783095146
0.003413182324359685,0.05640581790546959
0.0038051864391544696,0.06075447003440924
0.004157241090021123,0.06520867197230373
0.0045467483633204,0.0696839838719892
0.004933758795124168,0.07356821684152752
0.005378196581324625,0.07812796858837685
0.005790175428083475,0.0824132908319436
0.006364448972050356,0.08678305292267421
0.006886288844611566,0.09102615524265902
0.007478040279047005,0.09621920584323743
0.008027345408058805,0.10103227713157839
0.008526713707160441,0.10557091891663677
0.009140936715055455,0.110194000548859
0.009792612345383091,0.11528150134048257
0.010456772183188266,0.12047455194106099
0.011255761461750885,0.12756749910282664
0.011997323385916815,0.13362605813683479
0.012599062186334288,0.13795360030398346
0.013345617793491233,0.14289333136307023
0.014129626023080802,0.14848747123767705
0.015028488961463748,0.15498933946929555
0.015922358216855677,0.16045681957315658
0.016936075864032,0.1677608663528319
0.017944799828217305,0.1746638238584788
0.01905339745222294,0.1817989909438264
0.020002197220516046,0.18777311013067066
0.020873594902448403,0.19317726034915877
0.02167508102250653,0.19851808068227397
0.02256645343640295,0.2045133098309092
0.02384483628210314,0.21175402672521162
0.025220595946128146,0.2195858225496612
0.026483997742855286,0.2257288214308332
0.027370376473760692,0.23125963142006714
0.02853889829365852,0.23769816976631272
0.030181819997702905,0.24618437440628232
0.031365322866573786,0.25296067214118345
0.03226418580495673,0.25766819362056953
0.033437701307845576,0.263494543074877
0.0348184546548616,0.27079858985455235
0.036543772128257754,0.2796647738067594
0.03812676963640994,0.2872854700132993
0.03929529145630777,0.29334402904730744
0.04054121536256635,0.299782567393553
0.041784642427329426,0.305271157459205
0.04347001043679745,0.3133984927487281
0.044720928026047053,0.3191615123176627
0.04617658661792832,0.32500897173376114
0.04814160087489326,0.33400181545671404
0.05007165935092108,0.34172806147220874
0.05172706526244301,0.34835658947457304
0.053212685952270376,0.3548795676679825
0.054478584590493026,0.360009288383188
0.05629628519922298,0.3667222562327162
0.05769701327820307,0.3719997466804585
0.059479758105995914,0.3785860547592409
0.06159957653568236,0.38669228008697304
0.06345472976684494,0.39304637858605473
0.06490289783423969,0.39758502037111315
0.06637853115808502,0.4029047307424374
0.06809386126549914,0.4089632897764455
0.0701887112802305,0.4159506871292563
0.07191402875362667,0.4211437377298347
0.07362186833655426,0.42656899791011377
0.07534219212695939,0.4316142787781554
0.07713991800372529,0.43672288953156996
0.07865799763299426,0.44147263093453804
0.08060054031649963,0.4474256401595913
0.08278028294207827,0.4541597179709105
0.0848651455908276,0.45971163792193537
0.08630831997523133,0.464039180089084
0.08837570473351211,0.47009773912309216
0.09044308949179289,0.47594519853919065
0.09185630177825051,0.4795972219290283
0.09358161925164667,0.48354478478393953
0.09561654507048584,0.4889067150788457
0.09789116767289378,0.4951130438453906
0.09983870403939017,0.5002638745223871
0.10201594982347331,0.5059002343205758
0.1043929429271971,0.5116421439277195
0.1061332414495663,0.5157163665533765
0.10742660534423953,0.5192628401342594
0.11008324469546024,0.5254902788625953
0.11220805680813771,0.5309788689282472
0.11471738251112343,0.5361508095670346
0.11691210618567512,0.5411116505879124
0.11868486364748593,0.5449114437102869
0.12057996634257664,0.5491967659538536
0.12235771748737846,0.5535243081210023
0.12500936315560815,0.5589917882248633
0.1274637583456927,0.564691477908425
0.12948370311555882,0.568765700534082
0.13199802250153556,0.573578771822423
0.134417461910683,0.579046251926284
0.1364973308764413,0.5826982753161217
0.1392113975820587,0.5878279960313272
0.14179063484691865,0.5925144075489224
0.14457211627291477,0.5978130079584556
0.1468717072902778,0.6018661206223217
0.14957828347140867,0.6061303329040975
0.15249459433816223,0.6115978130079585
0.15496896426021084,0.6161786747165988
0.15804507298267692,0.6216250448586688
0.1616155563212536,0.6277891537016318
0.16402750520591453,0.6318844862890798
0.1660349657683031,0.6351565303666801
0.1695455249109876,0.640645120432332
0.17292125461291466,0.6459437208418652
0.17631196536381477,0.6512423212513986
0.18102600210733422,0.6578286293301809
0.18438924760178374,0.6628316902746406
0.18741292265284415,0.667349222097908
0.19138290063070215,0.6726267125456503
0.19464127878234033,0.6775453336429461
0.1995101196985813,0.6841527516835194
0.2035125566158809,0.689957991176036
0.2071404673088543,0.6955732410124338
0.21123778420298323,0.7007662916130122
0.21520027165635472,0.7054527031306074
0.21857350451678625,0.7095902556416372
0.22263336878848258,0.7147621962804247
0.226276260530429,0.7188575288678728
0.2310652025188137,0.7247894281311351
0.23530983306117761,0.7294969496105213
0.2387579711664744,0.7331911929239409
0.24288525015854945,0.7374554052057166
0.24743948904635635,0.7424162462265943
0.2514643975371155,0.7464904688522513
0.25635321318532056,0.751493529796711
0.2602033427713942,0.7551666631483397
0.26333937568975246,0.7585653669966858
0.2667975011610313,0.7618374110742859
0.27225060298722115,0.7673471111017289
0.2774215617244186,0.7722657321990247
0.2802005463089192,0.7745033881488674
0.28567112602557765,0.7793164594372084
