paper_frac,citation_frac
0.0,0.0
4.465513730561619e-07,0.0
0.01000007144821969,0.0
0.02000014289643938,0.0
0.030000214344659066,0.0
0.04000028579287876,0.0
0.05000035724109844,0.0
0.05999998213794508,0.0
0.07000005358616476,0.0
0.08000012503438446,0.0
0.09000019648260414,0.0
0.10000026793082384,0.0
0.11000033937904352,0.0
0.11999996427589016,0.0
0.13000003572410984,0.0
0.14000010717232952,0.0
0.15000017862054923,0.0
0.16000025006876892,0.0
0.1700003215169886,0.0
0.17999994641383524,0.0
0.19000001786205492,0.0
0.2000000893102746,0.0
0.2100001607584943,0.0
0.220000232206714,0.0
0.23000030365493368,0.0
0.23999992855178032,0.0
0.25,0.0
0.2600000714482197,0.0
0.27000014289643937,0.0
0.28000021434465905,0.0
0.29000028579287873,0.0
0.29999991068972537,0.0
0.30999998213794505,0.0
0.3200000535861648,0.0
0.3300001250343845,0.0
0.34000019648260416,0.0
0.35000026793082384,0.0
0.3599998928276705,0.0
0.36999996427589016,0.0
0.38000003572410984,0.0
0.3900001071723295,0.00033752789164570324
0.4000001786205492,0.0010515463694006511
0.4100002500687689,0.001765564847155599
0.4199998749656155,0.002479551440545192
0.4299999464138352,0.0031935699183001398
0.44000001786205495,0.003907588396055088
0.45000008931027463,0.004621606873810036
0.4600001607584943,0.005335625351564984
0.470000232206714,0.006049643829319932
0.47999985710356063,0.006763630422709524
0.4899999285517803,0.007477648900464472
0.5,0.00819166737821942
0.5100000714482197,0.009163470949867766
0.5200001428964394,0.010591507905377662
0.5299997677932861,0.012019481092156848
0.5399998392415057,0.013447518047666744
0.5499999106897254,0.01487555500317664
0.5599999821379451,0.016303591958686536
0.5700000535861648,0.01773162891419643
0.5800001250343845,0.019159665869706327
0.589999749931231,0.021252268652305905
0.5999998213794507,0.02339432408557075
0.6099998928276704,0.025536379518835594
0.6199999642758901,0.02767843495210044
0.6300000357241099,0.02982049038536528
0.6400001071723296,0.032444382347871566
0.6499997320691762,0.035300328721429935
0.6599998035173958,0.038156402632449724
0.6699998749656155,0.04101247654346952
0.6799999464138352,0.04437197269907593
0.6900000178620549,0.04794206508785067
0.7000000893102746,0.051512157476625416
0.7099997142071213,0.05547385364068756
0.719999785655341,0.05975796450721725
0.7299998571035606,0.06404207537374694
0.7399999285517803,0.06901855523395567
0.75,0.07401668457824032
0.7600000714482197,0.07957996429843843
0.7699996963450664,0.08529185704555517
0.7799997677932861,0.09168518244903427
0.7899998392415057,0.09837822088684832
0.7999999106897254,0.1055184056643978
0.8099999821379451,0.11336435086907533
0.8200000535861648,0.12176734782086623
0.8299996784830114,0.13082556848069787
0.839999749931231,0.14061282515436657
0.8499998213794507,0.15122802314320283
0.8599998928276704,0.16287528615420796
0.8699999642758901,0.1754844366992361
0.8800000357241099,0.1893814286453092
0.8899996606209565,0.20466634701527586
0.8999997320691762,0.22164123240214195
0.9099998035173958,0.24053039131617832
0.9199998749656155,0.2617436653896553
0.9299999464138352,0.28584202814662496
0.9400000178620549,0.31353748934982484
0.9499996427589016,0.34593987998852416
0.9599997142071213,0.38476046583567935
0.969999785655341,0.43308912885345674
0.9799998571035606,0.4970481773398198
0.9899999285517803,0.5932197131848291
1.0,1.0
