model,roc_auc,pr_auc,lift_at_10
Baseline (rate),0.5,0.10576682089436436,1.0
Logistic regression,0.8105338022654134,0.3499492558665437,3.8332067723085848
Gradient boosting,0.8211771081052355,0.3849497182269734,3.974223521064072
