predicted,observed,count
0.03623212580925228,0.03593903556258849,300175
0.14303608321136838,0.14310140371197705,72522
0.24586865609828235,0.2466523592177251,33083
0.34548613774295844,0.35233261760687096,20492
0.4455212122036741,0.44126425346292186,13067
0.5420952354511802,0.5408890397013912,5894
0.6389479872073642,0.6561728395061729,1620
0.7467459645755123,0.7654320987654321,648
0.842348000774337,0.8371335504885994,307
0.9339905897322741,0.7971014492753623,69
