family,year,share,kind,lo,hi
Healthcare AI,2008,1.220521307405875,history,,
Healthcare AI,2009,1.4888805126272144,history,,
Healthcare AI,2010,1.7656500802568218,history,,
Healthcare AI,2011,2.0038334204565253,history,,
Healthcare AI,2012,1.7213642213642213,history,,
Healthcare AI,2013,1.8317292766221671,history,,
Healthcare AI,2014,1.8451216102879506,history,,
Healthcare AI,2015,1.9919747778733163,history,,
Healthcare AI,2016,2.5847512663982335,history,,
Healthcare AI,2017,3.033825409740788,history,,
Healthcare AI,2018,3.6597526924611086,history,,
Healthcare AI,2019,4.1136225859530615,history,,
Healthcare AI,2020,4.374057315233785,history,,
Healthcare AI,2021,4.743935309973046,history,,
Healthcare AI,2022,5.414405525407005,history,,
Healthcare AI,2023,5.520646319569121,history,,
Healthcare AI,2024,5.391069953480283,history,,
Healthcare AI,2025,5.237955346650999,history,,
Healthcare AI,2026,5.532280755116256,forecast,4.032684777131662,7.031876733100849
Healthcare AI,2027,5.647101864526879,forecast,3.530141463594009,7.764062265459748
Healthcare AI,2028,5.800590933985537,forecast,3.215032826590763,8.38614904138031
ML Theory & Optimization,2000,28.1638288080994,history,,
ML Theory & Optimization,2001,28.207592503604033,history,,
ML Theory & Optimization,2002,27.212341975573175,history,,
ML Theory & Optimization,2003,28.535424250910108,history,,
ML Theory & Optimization,2004,29.511059371362048,history,,
ML Theory & Optimization,2005,28.185328185328185,history,,
ML Theory & Optimization,2006,27.671589921807122,history,,
ML Theory & Optimization,2007,28.927410617551462,history,,
ML Theory & Optimization,2008,27.72031443938767,history,,
ML Theory & Optimization,2009,27.120241236336224,history,,
ML Theory & Optimization,2010,28.874621009452472,history,,
ML Theory & Optimization,2011,28.21048963234013,history,,
ML Theory & Optimization,2012,28.104890604890603,history,,
ML Theory & Optimization,2013,29.571561626823968,history,,
ML Theory & Optimization,2014,26.05535364830864,history,,
ML Theory & Optimization,2015,24.07566638005159,history,,
ML Theory & Optimization,2016,21.911936615144825,history,,
ML Theory & Optimization,2017,20.376612809485064,history,,
ML Theory & Optimization,2018,17.87993617869964,history,,
ML Theory & Optimization,2019,16.082099246557547,history,,
ML Theory & Optimization,2020,15.588235294117647,history,,
ML Theory & Optimization,2021,15.91644204851752,history,,
ML Theory & Optimization,2022,15.669708929452392,history,,
ML Theory & Optimization,2023,14.577099541192897,history,,
ML Theory & Optimization,2024,13.45158906134516,history,,
ML Theory & Optimization,2025,13.830787309048178,history,,
ML Theory & Optimization,2026,13.554182774635697,forecast,12.054586796651105,15.053778752620289
ML Theory & Optimization,2027,13.563286081792988,forecast,11.446325680860118,15.68024648272586
ML Theory & Optimization,2028,13.628366843703148,forecast,11.042808736308373,16.21392495109792
NLP,2000,20.47860101242522,history,,
NLP,2001,18.06823642479577,history,,
NLP,2002,19.86286693807585,history,,
NLP,2003,19.12629515541865,history,,
NLP,2004,20.343422584400468,history,,
NLP,2005,20.294401544401545,history,,
NLP,2006,22.849695916594264,history,,
NLP,2007,19.349945828819067,history,,
NLP,2008,21.472900289615225,history,,
NLP,2009,23.049378062570675,history,,
NLP,2010,18.12020688425183,history,,
NLP,2011,16.93674856246733,history,,
NLP,2012,18.645431145431147,history,,
NLP,2013,19.776466935734245,history,,
NLP,2014,23.161867486720716,history,,
NLP,2015,25.093149899684725,history,,
NLP,2016,25.57474996752825,history,,
NLP,2017,24.607694990119725,history,,
NLP,2018,25.94734742720383,history,,
NLP,2019,26.500389711613405,history,,
NLP,2020,23.883861236802414,history,,
NLP,2021,22.762803234501348,history,,
NLP,2022,20.11593487913172,history,,
NLP,2023,21.99281867145422,history,,
NLP,2024,21.7034041998174,history,,
NLP,2025,21.057579318448884,history,,
NLP,2026,21.009787899683182,forecast,19.51019192169859,22.509383877667776
NLP,2027,20.82370408595235,forecast,18.70674368501948,22.940664486885222
NLP,2028,20.660238625478392,forecast,18.074680518083618,23.245796732873163
Reinforcement Learning,2000,2.577082374597331,history,,
Reinforcement Learning,2001,3.7481979817395485,history,,
Reinforcement Learning,2002,2.5926719520034283,history,,
Reinforcement Learning,2003,2.8563427611313355,history,,
Reinforcement Learning,2004,1.8044237485448196,history,,
Reinforcement Learning,2005,2.4613899613899615,history,,
Reinforcement Learning,2006,1.9331016507384884,history,,
Reinforcement Learning,2007,2.1235102925243767,history,,
Reinforcement Learning,2008,1.4480761274306992,history,,
Reinforcement Learning,2009,1.8092725216735772,history,,
Reinforcement Learning,2010,1.3197788478687356,history,,
Reinforcement Learning,2011,1.4810942672939535,history,,
Reinforcement Learning,2012,1.1100386100386102,history,,
Reinforcement Learning,2013,0.884818379385284,history,,
Reinforcement Learning,2014,0.8526698350573106,history,,
Reinforcement Learning,2015,0.6735454284895385,history,,
Reinforcement Learning,2016,0.38966099493440703,history,,
Reinforcement Learning,2017,0.34871556433802164,history,,
Reinforcement Learning,2018,0.24930195452732348,history,,
Reinforcement Learning,2019,0.16454490343812248,history,,
Reinforcement Learning,2020,0.1885369532428356,history,,
Reinforcement Learning,2021,0.09433962264150944,history,,
Reinforcement Learning,2022,0.11716822890971879,history,,
Reinforcement Learning,2023,0.1296628765210453,history,,
Reinforcement Learning,2024,0.3347680535628886,history,,
Reinforcement Learning,2025,0.6492361927144535,history,,
Reinforcement Learning,2026,0.6049827567587109,forecast,0.0,2.1045787347433045
Reinforcement Learning,2027,0.7037874260206984,forecast,0.0,2.820747826953568
Reinforcement Learning,2028,0.7833084541290947,forecast,0.0,3.3688665615238684
Robotics,2000,7.455131155085136,history,,
Robotics,2001,7.736665064872657,history,,
Robotics,2002,8.013713306192415,history,,
Robotics,2003,7.196863623634836,history,,
Robotics,2004,6.344586728754366,history,,
Robotics,2005,6.7084942084942085,history,,
Robotics,2006,5.842745438748914,history,,
Robotics,2007,6.868905742145179,history,,
Robotics,2008,6.640463384360777,history,,
Robotics,2009,5.277044854881266,history,,
Robotics,2010,6.331371499910826,history,,
Robotics,2011,6.499390137654644,history,,
Robotics,2012,6.274131274131274,history,,
Robotics,2013,5.743557901272896,history,,
Robotics,2014,4.752585965893206,history,,
Robotics,2015,4.815133276010318,history,,
Robotics,2016,4.896739836342382,history,,
Robotics,2017,5.14936650005812,history,,
Robotics,2018,4.876346230554447,history,,
Robotics,2019,4.09630206980168,history,,
Robotics,2020,3.6500754147812975,history,,
Robotics,2021,3.1873315363881405,history,,
Robotics,2022,2.830537740503207,history,,
Robotics,2023,2.722920406941951,history,,
Robotics,2024,2.7650971696882745,history,,
Robotics,2025,3.093419506462985,history,,
Robotics,2026,3.084552785055571,forecast,1.5849568070709779,4.584148763040164
Robotics,2027,3.2207136903341373,forecast,1.1037532894012678,5.337674091267007
Robotics,2028,3.3488549694563288,forecast,0.7632968620615549,5.9344130768511025
