publication_year,paper_count
2000,21707
2001,20773
2002,46555
2003,35114
2004,33855
2005,41210
2006,45345
2007,45233
2008,47877
2009,52195
2010,54965
2011,56939
2012,60572
2013,63321
2014,69591
2015,68512
2016,76723
2017,84558
2018,99467
2019,113716
2020,129036
2021,147257
2022,159458
2023,188544
2024,215833
2025,261790
2026,154090
